,S&P,EURUSD,ESTX600,EURUSD3mBS,UST10,DEM10,UST2,DEM2,USYC,DEYC,SOFR,ESTR,CDX IG,CDX HY,ITRX IG,ITRX XO,CO,US5BEI,FR5BEI,VIX
SOFR,0.019882165654964958,0.009030347662924298,-0.004345583571882916,0.06404096541741783,0.01190554245718892,-0.0018859107986067204,-0.007895019535333869,0.0159318005650137,0.0281218058596208,-0.0017422693879338407,1.0,-0.008215721479013302,-0.006063653609346118,-0.02292979353554986,-0.024657100778614105,-0.03424202568208366,0.026749735059152933,0.011659155606933274,0.02056218892589399,-0.04587753140423023
ESTR,-0.021442360432466067,0.014405807283010413,0.007861641314888748,0.07154858188823937,-0.04255841192746029,0.004127329125214031,-0.045145768967882895,0.05256729948619876,0.008888610182198829,-0.07878184021326573,-0.008215721479013302,1.0,-0.005126195996887763,-7.342272630879398e-05,-0.04375705790660159,-0.04703031981368274,0.08818962560041135,0.05794101068181927,0.12149277689459229,-0.010778160604947061
CDX IG,-0.7103505430014299,-0.1425360009094146,-0.48551876651331677,0.04341101149069798,-0.18117768547216026,-0.059141687545609174,-0.12274447934859475,-0.058540186421615265,-0.04053733604330283,-0.0029533606672255443,-0.006063653609346118,-0.005126195996887763,1.0,0.8239871584791594,0.7119702889051784,0.6693343427101361,-0.16072195627733477,-0.3245856423048791,-0.0032388561976475277,0.6367013585784846
CDX HY,-0.7810263817613685,-0.2212236961006784,-0.5616625727099603,-0.03601547611694223,-0.19165670616361968,-0.049024444635091736,-0.10508079538677374,-0.0461595038950078,-0.06572756161611325,-0.00590059968489807,-0.02292979353554986,-7.342272630879398e-05,0.8239871584791594,1.0,0.6812080079252013,0.7390577318809127,-0.1802883837677829,-0.3396869641452944,-0.057127771828542756,0.5995201955837771
ITRX IG,-0.6003714055283416,-0.17011036338286198,-0.7245725651232008,-0.15730105262761826,-0.1635705174509464,-0.12549173250807746,-0.15357407677108903,-0.1586621885603111,0.009757965336729962,0.0012600042382537864,-0.024657100778614105,-0.04375705790660159,0.7119702889051784,0.6812080079252013,1.0,0.9247138360135706,-0.19867415343705705,-0.3362019446988188,-0.020334104121827113,0.48482680665632166
ITRX XO,-0.6350888811804632,-0.20963862443674539,-0.750454456312923,-0.16010839186061346,-0.15402303126804734,-0.10716137479332499,-0.1306874150924507,-0.132331945589846,0.010582062659910135,0.0014672953307719415,-0.03424202568208366,-0.04703031981368274,0.6693343427101361,0.7390577318809127,0.9247138360135706,1.0,-0.2010499546212772,-0.3566081264965044,0.01304120360262109,0.4840508566259251
CO,0.19876567380754814,0.09840536907917646,0.21183396986695874,0.03027721767408483,0.1005020866074813,0.15874089059437424,0.05342793280410347,0.1537758493054258,-0.003595577832673229,-0.03639990716283883,0.026749735059152933,0.08818962560041135,-0.16072195627733477,-0.1802883837677829,-0.19867415343705705,-0.2010499546212772,1.0,0.422550803548769,0.2572027487764728,-0.15407688294323824
US5BEI,0.3473712880867319,0.01932457637062459,0.3467407040454136,0.11386032100323035,0.30245300730339686,0.24556026267860845,0.2246823868780289,0.18942108116525522,0.11118509297045996,0.03783652814231877,0.011659155606933274,0.05794101068181927,-0.3245856423048791,-0.3396869641452944,-0.3362019446988188,-0.3566081264965044,0.422550803548769,1.0,0.3749366916960515,-0.34555106928012036
FR5BEI,0.11408500600490687,-0.017403194113129898,0.09145682305650842,0.11233266170227403,0.1073619892168539,0.2162319507047767,0.09607691284427626,0.2797178813721003,0.029882013116274378,-0.13177166701083506,0.02056218892589399,0.12149277689459229,-0.0032388561976475277,-0.057127771828542756,-0.020334104121827113,0.01304120360262109,0.2572027487764728,0.3749366916960515,1.0,-0.02621583472495403
VIX,-0.7745526418853683,-0.05448856404141159,-0.5078418068173508,-0.0575197010418571,-0.22707603700101495,-0.07004486137004164,-0.13956989183832919,-0.07018653677947803,-0.050812361151382913,-0.01839047553456208,-0.04587753140423023,-0.010778160604947061,0.6367013585784846,0.5995201955837771,0.48482680665632166,0.4840508566259251,-0.15407688294323824,-0.34555106928012036,-0.02621583472495403,1.0
